"","chars","chars_cumu"
"2016-04-12",1103,1103
"2016-04-13",0,0
"2016-04-14",0,0
"2016-04-15",0,0
"2016-04-16",0,0
"2016-04-17",0,0
"2016-04-18",0,0
"2016-04-19",0,0
"2016-04-20",0,0
"2016-04-21",13228,14331
"2016-04-22",0,0
"2016-04-23",0,0
"2016-04-24",0,0
"2016-04-25",0,0
"2016-04-26",0,0
"2016-04-27",0,0
"2016-04-28",0,0
"2016-04-29",0,0
"2016-04-30",0,0
"2016-05-01",0,0
"2016-05-02",0,0
"2016-05-03",0,0
"2016-05-04",0,0
"2016-05-05",0,0
"2016-05-06",0,0
"2016-05-07",0,0
"2016-05-08",0,0
"2016-05-09",0,0
"2016-05-10",632,14963
"2016-05-11",0,0
"2016-05-12",0,0
"2016-05-13",0,0
"2016-05-14",0,0
"2016-05-15",0,0
"2016-05-16",0,0
"2016-05-17",0,0
"2016-05-18",0,0
"2016-05-19",0,0
"2016-05-20",0,0
"2016-05-21",0,0
"2016-05-22",0,0
"2016-05-23",3213,18176
"2016-05-24",499,18675
"2016-05-25",0,0
"2016-05-26",0,0
"2016-05-27",1353,20028
"2016-05-28",0,0
"2016-05-29",0,0
"2016-05-30",0,0
"2016-05-31",0,0
"2016-06-01",0,0
"2016-06-02",8791,28819
"2016-06-03",816,29635
"2016-06-04",0,0
"2016-06-05",0,0
"2016-06-06",0,0
"2016-06-07",832,30467
"2016-06-08",0,0
"2016-06-09",0,0
"2016-06-10",0,0
"2016-06-11",0,0
"2016-06-12",0,0
"2016-06-13",0,0
"2016-06-14",0,0
"2016-06-15",894,31361
"2016-06-16",257,31618
"2016-06-17",0,0
"2016-06-18",0,0
"2016-06-19",0,0
"2016-06-20",1271,32889
"2016-06-21",0,0
"2016-06-22",0,0
"2016-06-23",809,33698
"2016-06-24",3754,37452
"2016-06-25",0,0
"2016-06-26",0,0
"2016-06-27",0,0
"2016-06-28",0,0
"2016-06-29",0,0
"2016-06-30",0,0
"2016-07-01",0,0
"2016-07-02",0,0
"2016-07-03",0,0
"2016-07-04",1082,38534
"2016-07-05",336,38870
"2016-07-06",0,0
"2016-07-07",233,39103
"2016-07-08",4448,43551
"2016-07-09",402,43953
"2016-07-10",1021,44974
"2016-07-11",188,45162
"2016-07-12",221,45383
"2016-07-13",1296,46679
"2016-07-14",139,46818
"2016-07-15",0,0
"2016-07-16",0,0
"2016-07-17",427,47245
"2016-07-18",3652,50897
"2016-07-19",2960,53857
"2016-07-20",186,54043
"2016-07-21",0,0
"2016-07-22",0,0
"2016-07-23",0,0
"2016-07-24",0,0
"2016-07-25",0,0
"2016-07-26",2186,56229
"2016-07-27",0,0
"2016-07-28",0,0
"2016-07-29",0,0
"2016-07-30",5683,61912
"2016-07-31",0,0
"2016-08-01",8632,70544
"2016-08-02",3466,74010
"2016-08-03",0,0
"2016-08-04",0,0
"2016-08-05",1652,75662
"2016-08-06",3820,79482
"2016-08-07",3874,83356
"2016-08-08",1438,84794
"2016-08-09",7599,92393
"2016-08-10",0,0
"2016-08-11",0,0
"2016-08-12",150,92543
"2016-08-13",0,0
"2016-08-14",0,0
"2016-08-15",3901,96444
"2016-08-16",874,97318
"2016-08-17",783,98101
"2016-08-18",402,98503
"2016-08-19",1149,99652
"2016-08-20",0,0
"2016-08-21",0,0
"2016-08-22",7429,107081
"2016-08-23",4106,111187
"2016-08-24",0,0
"2016-08-25",0,0
"2016-08-26",10989,122176
"2016-08-27",0,0
"2016-08-28",1866,124042
"2016-08-29",4447,128489
"2016-08-30",8783,137272
"2016-08-31",3576,140848
"2016-09-01",0,0
"2016-09-02",0,0
"2016-09-03",0,0
"2016-09-04",0,0
"2016-09-05",0,0
"2016-09-06",14702,155550
"2016-09-07",5350,160900
"2016-09-08",713,161613
"2016-09-09",454,162067
"2016-09-10",0,0
"2016-09-11",0,0
"2016-09-12",489,162556
"2016-09-13",3182,165738
"2016-09-14",1185,166923
"2016-09-15",1953,168876
"2016-09-16",0,0
"2016-09-17",14192,183068
"2016-09-18",12854,195922
"2016-09-19",13515,209437
"2016-09-20",0,0
"2016-09-21",0,0
